Plate,Gene_name,gene_length,aligned_length,avg_read_depth,snp_count,indel_count
scORFeome-HIP-06_S150_L001_R1_001_sorted,YIR034C,1122,1122,94,97,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YHR041C,734,736,188,170,2
scORFeome-HIP-06_S150_L001_R1_001_sorted,YDR132C,1488,251,1,N/A,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YML116W,1629,1621,56,26,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YGR038CA,1323,401,1,N/A,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YPL009C,3117,99,23,6,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YOR334W,1413,1409,56,25,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YBR301W,363,155,8,N/A,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YLR283W,945,156,1,N/A,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YOR386W,1698,251,1,N/A,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YJL221C,1770,81,1,2,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YDR232W,1647,1602,16,7,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YPR142C,564,329,13,1,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YCR045C,1476,251,1,1,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YGR027WB,5268,890,4,8,1
scORFeome-HIP-06_S150_L001_R1_001_sorted,YOR096W,974,969,38,8,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YDR251W,2493,2497,88,253,4
scORFeome-HIP-06_S150_L001_R1_001_sorted,YOR106W,852,829,72,16,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YOR193W,1131,1132,49,45,1
scORFeome-HIP-06_S150_L001_R1_001_sorted,YIL105C,2061,642,1,1,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YGR091W,1485,251,1,N/A,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YNL119W,1482,1474,17,6,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YOR074C,915,915,70,100,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YAL047C,1869,1860,39,19,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YDR179WA,807,212,1,N/A,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YKR016W,1623,1615,41,26,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YDR285W,2628,251,1,N/A,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YOL105C,1671,1646,33,14,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YBR212W,2019,223,1,N/A,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YJL024C,662,660,36,7,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YCR033W,3681,251,1,1,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YGR085C,525,89,1,N/A,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YBR158W,1650,1652,78,96,2
scORFeome-HIP-06_S150_L001_R1_001_sorted,YHR015W,1980,1968,23,10,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YIL111W,544,516,18,1,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YBR073W,2775,251,1,N/A,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YBR028C,1578,1575,67,29,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YEL064C,1443,1447,106,134,4
scORFeome-HIP-06_S150_L001_R1_001_sorted,YML034W,2631,251,1,N/A,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YNR020C,813,814,48,96,1
scORFeome-HIP-06_S150_L001_R1_001_sorted,YEL072W,696,690,49,9,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YGL135W,654,251,1,N/A,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YDR168W,1521,1518,49,15,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YOL103WB,5268,502,1,N/A,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YOL103WA,1323,947,1,N/A,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YIL102C,306,295,3,1,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YDR091C,1827,1817,40,18,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YPR152C,1398,251,1,N/A,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YJL148W,702,251,1,N/A,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YER132C,5262,251,1,N/A,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YHR180CB,105,90,1,N/A,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YDR537C,606,550,11,1,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YFL036W,4056,753,1,3,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YGR177C,1608,1599,59,26,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YDL160C,1521,1511,53,18,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YMR164C,2277,251,1,N/A,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YGR077C,1770,251,1,N/A,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YCR104W,375,179,10,14,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YLR133W,1749,251,1,N/A,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YLR273C,1947,1942,49,19,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YMR322C,714,450,22,12,1
scORFeome-HIP-06_S150_L001_R1_001_sorted,YOR006C,942,930,27,7,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YPL151C,1356,251,1,N/A,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YML019W,999,178,1,1,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YGL110C,1875,1807,12,3,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YLR394W,1449,502,1,2,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YBL102W,648,251,1,N/A,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YHR070W,1500,218,1,N/A,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YNL151C,756,758,70,46,2
scORFeome-HIP-06_S150_L001_R1_001_sorted,YDL022W,1176,1163,34,20,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YIL045W,1617,1617,93,133,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YKR043C,816,797,43,8,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YDR416W,2580,251,1,N/A,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YBR155W,1158,251,1,1,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YOL065C,1155,1143,39,12,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YBL079W,4509,251,1,3,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YDR146C,2130,2133,114,253,3
scORFeome-HIP-06_S150_L001_R1_001_sorted,YDR530C,978,251,1,N/A,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YHR033W,1272,1260,212,67,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YKR094C,755,712,19,4,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YFL040W,1623,493,1,4,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YPL188W,1245,251,1,N/A,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YOR095C,777,775,52,46,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YER006W,1563,1557,76,41,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YOR115C,807,795,13,N/A,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YCL014W,4911,251,1,N/A,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YDR021W,1200,1204,105,139,4
scORFeome-HIP-06_S150_L001_R1_001_sorted,YOR231W,1527,1483,50,21,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YDR007W,675,391,344,109,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YGL173C,4587,208,1,N/A,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YOR178C,2382,251,1,N/A,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YJR064W,1689,249,1,N/A,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YPL122C,1542,126,1,N/A,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YDR062W,1686,1681,88,42,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YLR288C,1425,251,1,N/A,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YHR012W,968,967,69,24,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YIL022W,1296,1277,26,5,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YLR435W,750,750,50,28,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YJR076C,1248,1250,141,236,2
scORFeome-HIP-06_S150_L001_R1_001_sorted,YOR025W,1344,1335,40,17,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YOR092W,1842,1839,76,33,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YGR119C,1626,1599,41,15,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YOL127W,843,822,29,8,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YLR326W,723,675,56,11,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YKR035WA,615,79,1,N/A,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YPL257WA,1323,460,1,1,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YPL005W,1821,1823,72,169,2
scORFeome-HIP-06_S150_L001_R1_001_sorted,YLR174W,1239,1237,84,35,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YMR278W,1869,1829,7,3,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YGR072W,1164,251,1,N/A,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YOR187W,1314,1309,37,19,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YGL095C,1734,1730,111,45,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YOL165C,432,167,1,35,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YLR185W,626,626,110,60,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YLR398C,3864,502,1,N/A,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YDL216C,1368,1361,19,8,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YJL103C,1857,1845,62,23,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YOR239W,840,624,11,2,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YIL142W,1584,1587,151,234,3
scORFeome-HIP-06_S150_L001_R1_001_sorted,YKL004W,1206,1208,125,191,2
scORFeome-HIP-06_S150_L001_R1_001_sorted,YMR110C,1599,251,1,N/A,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YGL082W,1146,174,1,N/A,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YPL154C,1218,250,1,1,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YHR094C,1713,306,3,74,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YNL138W,1581,1585,75,155,4
scORFeome-HIP-06_S150_L001_R1_001_sorted,YBL076C,3219,251,1,N/A,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YDR008C,351,306,29,1,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YER138C,5268,858,5,8,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YOR209C,1290,251,1,N/A,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YFR009W,2259,2224,36,25,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YNL101W,2142,251,1,N/A,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YPL177C,921,920,38,6,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YBR274W,1584,1557,14,8,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YNL090W,579,574,37,3,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YOL062C,1476,119,1,1,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YJR026W,1323,609,2,N/A,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YDR210CC,1323,557,1,N/A,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YBR139W,1527,1530,137,213,3
scORFeome-HIP-06_S150_L001_R1_001_sorted,YIL130W,2895,75,0,2,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YHR188C,1833,1833,51,83,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YHR111W,1323,251,1,N/A,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YBL045C,1374,1366,53,17,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YDR036C,1503,1493,31,12,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YPL073C,486,371,1,N/A,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YDR361C,852,251,1,N/A,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YOR241W,1647,1649,131,216,2
scORFeome-HIP-06_S150_L001_R1_001_sorted,YFL013WA,804,474,11,N/A,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YKR080W,963,251,1,N/A,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YDL079C,1798,251,1,N/A,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YJR136C,1266,251,1,N/A,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YIL094C,1116,1119,93,89,3
scORFeome-HIP-06_S150_L001_R1_001_sorted,YDR239C,2364,2364,48,38,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YBL026W,416,410,18,1,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YLR212C,1422,251,1,N/A,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YDR534C,1587,251,1,N/A,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YJL115W,840,251,1,N/A,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YOR172W,2361,251,1,2,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YPR104C,2811,251,1,N/A,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YDR186C,2634,251,1,N/A,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YBR200W,1656,1633,35,18,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YOR129C,2682,2660,31,25,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YPR143W,753,754,139,125,1
scORFeome-HIP-06_S150_L001_R1_001_sorted,YHR206W,1869,1851,72,38,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YHL039W,1758,1759,13,25,1
scORFeome-HIP-06_S150_L001_R1_001_sorted,YGL077C,1692,1693,130,295,1
scORFeome-HIP-06_S150_L001_R1_001_sorted,YPL204W,1485,1487,75,110,2
scORFeome-HIP-06_S150_L001_R1_001_sorted,YMR292W,499,251,1,N/A,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YBL099W,1638,1641,165,307,3
scORFeome-HIP-06_S150_L001_R1_001_sorted,smorf196526,261,135,1,N/A,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YLR173W,1827,251,1,N/A,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YPL184C,1839,1811,24,12,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YFR009WA,258,251,1,1,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YOR165W,2331,251,1,N/A,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YAL040C,1743,1746,90,153,3
scORFeome-HIP-06_S150_L001_R1_001_sorted,YLR409C,2820,251,1,N/A,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YDR288W,912,313,1,N/A,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YNL197C,1986,196,2,3,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YCL036W,1701,1689,50,29,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YLR439W,960,962,61,75,2
scORFeome-HIP-06_S150_L001_R1_001_sorted,YLR078C,824,817,37,8,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YOR190W,1338,1310,32,20,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YER059W,1263,251,1,2,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YHL023C,3441,251,1,N/A,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YPR125W,1365,1365,122,153,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YHR147C,645,645,98,61,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YPR009W,807,780,40,8,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YGL111W,1392,1384,47,21,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YJR158W,1704,1640,23,252,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YJL038C,660,251,1,N/A,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YFL011W,1641,155,1,29,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YJL197W,3765,251,1,N/A,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YNL089C,477,355,13,1,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YPL074W,2265,251,1,N/A,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YNL320W,855,855,38,42,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YMR325W,375,285,24,37,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YKL046C,1350,1350,79,32,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YNL310C,618,251,1,1,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YLR256WA,1323,983,8,13,2
scORFeome-HIP-06_S150_L001_R1_001_sorted,YGR294W,363,352,27,11,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YLL067C,3618,251,1,N/A,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YNL150W,408,282,5,N/A,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YBR020W,1587,499,2,106,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YLR231C,1362,1356,48,21,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YPR117W,7470,753,1,N/A,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YLR379W,375,257,95,16,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YLR073C,603,251,1,N/A,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YDR112W,309,224,81,16,2
scORFeome-HIP-06_S150_L001_R1_001_sorted,YER183C,636,249,1,4,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YDL044C,1323,1323,73,26,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YDL167C,2160,2162,80,196,2
scORFeome-HIP-06_S150_L001_R1_001_sorted,YDR320CA,219,151,1,N/A,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YBR295W,3651,149,1,1,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YHR109W,1758,1754,53,31,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YLR388W,171,170,26,16,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YDL176W,2128,251,1,N/A,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YIL011W,810,810,59,55,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YAL068C,363,98,2,N/A,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YFL028C,870,251,1,N/A,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YGR201C,678,169,1,N/A,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YOR027W,1770,1745,28,15,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YBL031W,1017,1006,56,16,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YKR020W,495,224,1,N/A,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YLR052W,753,741,61,8,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YGL107C,1941,1945,80,155,4
scORFeome-HIP-06_S150_L001_R1_001_sorted,YOR269W,1485,1478,45,20,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YDR349C,1791,1785,106,53,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YDR520C,2319,251,1,N/A,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YDR324C,2331,2307,76,42,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YPL257WB,5268,908,2,1,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YDL069C,702,696,40,9,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YPR132W,803,784,25,5,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YCR053W,1545,1534,31,17,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YDR444W,2064,250,1,1,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YNL120C,486,341,3,N/A,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YJL066C,759,747,25,12,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YFR013W,2364,2367,50,112,3
scORFeome-HIP-06_S150_L001_R1_001_sorted,YMR177W,1533,1529,137,64,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YOL119C,1506,1494,21,11,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YOR311C,873,80,1,N/A,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YOR223W,879,881,124,133,2
scORFeome-HIP-06_S150_L001_R1_001_sorted,YGR083C,1956,1939,51,28,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YNL149C,390,373,4,1,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YNL287W,2808,251,1,N/A,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YOR179C,567,547,23,5,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YDR061W,1620,251,1,2,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YOL146W,585,582,25,5,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YNR073C,1509,1509,2,22,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YML024W,809,809,142,92,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YDR182W,1476,1476,53,17,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YHR214CC,1437,251,1,N/A,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YOL049W,1476,1476,49,25,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YDR139C,307,305,27,1,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YIR033W,3342,251,1,N/A,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YPL004C,1026,1009,19,9,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YBR045C,1722,1714,44,17,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YDR538W,729,650,16,2,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YBR247C,1452,1452,397,468,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YDR256C,1548,1540,86,41,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YOR143C,960,950,42,4,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YGL030W,548,546,48,5,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YMR204C,1263,1259,53,13,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YJL033W,2313,251,1,N/A,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YIL002C,2841,251,1,N/A,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YGR159C,1245,1245,40,75,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YBL104C,3117,251,1,N/A,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YKL165C,2760,251,1,N/A,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YDR470C,1509,1500,121,50,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YDR518W,1554,251,1,N/A,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YAL010C,1482,1480,6,10,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YNL118C,2913,463,1,3,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YMR118C,591,246,1,N/A,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YDR105C,1422,1416,65,30,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YNR023W,1701,1699,33,11,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YBR070C,714,714,52,36,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YLL017W,312,312,89,19,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YLR357W,2670,251,1,N/A,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YPR163C,1311,1288,41,15,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YEL065W,1887,1881,78,38,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YPR101W,528,251,1,N/A,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YER127W,1074,251,1,2,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YJR029W,5268,288,2,1,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YOL086C,1047,1045,61,15,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YDR365WB,5268,686,1,1,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YJR010W,1536,1537,246,331,1
scORFeome-HIP-06_S150_L001_R1_001_sorted,YHR110W,639,639,49,27,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YDR261C,1689,251,1,N/A,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YOR242C,1116,1114,22,3,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YOL090W,2895,251,1,1,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YNL009W,1263,228,4,51,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YLR077W,1752,1736,67,29,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YPL181W,1521,1517,65,26,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YPR158CD,5268,526,1,N/A,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YPL218W,712,703,37,6,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YKL128C,888,251,1,N/A,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YJL156C,2064,106,1,2,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YJL085W,1872,1857,44,18,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YHL019C,1818,1803,71,26,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YGL163C,2697,251,1,N/A,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YIL015W,1764,1741,81,38,N/A
scORFeome-HIP-06_S150_L001_R1_001_sorted,YKL216W,945,251,1,N/A,N/A
